image_name,label,split,relative_filepath
SPC-EAWAG-0P5X-1531357072113604-3071035817378-034619-131-1202-244-148-128.jpeg,cyclops,train,cyclops/training_data/SPC-EAWAG-0P5X-1531357072113604-3071035817378-034619-131-1202-244-148-128.jpeg
SPC-EAWAG-0P5X-1541206751828599-6889252211507-035419-159-946-528-168-192.jpeg,cyclops,train,cyclops/training_data/SPC-EAWAG-0P5X-1541206751828599-6889252211507-035419-159-946-528-168-192.jpeg
SPC-EAWAG-0P5X-1570496558527228-3678536917289-001489-197-2946-1200-36-76.jpeg,maybe_cyano,train,maybe_cyano/training_data/SPC-EAWAG-0P5X-1570496558527228-3678536917289-001489-197-2946-1200-36-76.jpeg
SPC-EAWAG-0P5X-1589436595239499-10182004143170-005859-017-1306-1586-308-308.jpeg,daphnia,train,daphnia/training_data/SPC-EAWAG-0P5X-1589436595239499-10182004143170-005859-017-1306-1586-308-308.jpeg
SPC-EAWAG-0P5X-1535891187935356-1573766176829-015779-080-1068-366-132-120.jpeg,cyclops,train,cyclops/training_data/SPC-EAWAG-0P5X-1535891187935356-1573766176829-015779-080-1068-366-132-120.jpeg
SPC-EAWAG-0P5X-1584990187664953-5735663308025-001779-078-1220-638-240-232.jpeg,conochilus,train,conochilus/training_data/SPC-EAWAG-0P5X-1584990187664953-5735663308025-001779-078-1220-638-240-232.jpeg
SPC-EAWAG-0P5X-1589436344223232-10181753122303-003349-053-1046-76-44-48.jpeg,rotifers,train,rotifers/training_data/SPC-EAWAG-0P5X-1589436344223232-10181753122303-003349-053-1046-76-44-48.jpeg
SPC-EAWAG-0P5X-1533605470703827-5319404127346-054599-039-0-1808-416-556.jpeg,leptodora,train,leptodora/training_data/SPC-EAWAG-0P5X-1533605470703827-5319404127346-054599-039-0-1808-416-556.jpeg
SPC-EAWAG-0P5X-1559498465195539-6403889475524-000559-593-2102-1154-68-52.jpeg,asterionella,train,asterionella/training_data/SPC-EAWAG-0P5X-1559498465195539-6403889475524-000559-593-2102-1154-68-52.jpeg
SPC-EAWAG-0P5X-1538831563548611-4514099521516-043539-088-1148-804-128-188.jpeg,cyclops,train,cyclops/training_data/SPC-EAWAG-0P5X-1538831563548611-4514099521516-043539-088-1148-804-128-188.jpeg
SPC-EAWAG-0P5X-1534939873029916-622464635001-006629-099-1520-526-280-280.jpeg,diaphanosoma,train,diaphanosoma/training_data/SPC-EAWAG-0P5X-1534939873029916-622464635001-006629-099-1520-526-280-280.jpeg
SPC-EAWAG-0P5X-1583240803896693-3986305160432-003939-145-1338-1222-308-400.jpeg,filament,train,filament/training_data/SPC-EAWAG-0P5X-1583240803896693-3986305160432-003939-145-1338-1222-308-400.jpeg
SPC-EAWAG-0P5X-1542329404066273-8011888024431-029939-113-2310-776-408-500.jpeg,eudiaptomus,train,eudiaptomus/training_data/SPC-EAWAG-0P5X-1542329404066273-8011888024431-029939-113-2310-776-408-500.jpeg
SPC-EAWAG-0P5X-1584615783918277-5361265110379-001739-011-0-1604-172-180.jpeg,conochilus,train,conochilus/training_data/SPC-EAWAG-0P5X-1584615783918277-5361265110379-001739-011-0-1604-172-180.jpeg
SPC-EAWAG-0P5X-1535633529089245-1316111025412-031189-082-3062-638-200-216.jpeg,diaphanosoma,train,diaphanosoma/training_data/SPC-EAWAG-0P5X-1535633529089245-1316111025412-031189-082-3062-638-200-216.jpeg
SPC-EAWAG-0P5X-1533217211379508-4931150179252-060009-104-1390-1072-72-76.jpeg,nauplius,train,nauplius/training_data/SPC-EAWAG-0P5X-1533217211379508-4931150179252-060009-104-1390-1072-72-76.jpeg
SPC-EAWAG-0P5X-1529237974092903-951966909773-011649-054-1110-1412-52-68.jpeg,dinobryon,train,dinobryon/training_data/SPC-EAWAG-0P5X-1529237974092903-951966909773-011649-054-1110-1412-52-68.jpeg
SPC-EAWAG-0P5X-1543758365348154-9440827660548-063549-000-1032-2366-76-76.jpeg,nauplius,train,nauplius/training_data/SPC-EAWAG-0P5X-1543758365348154-9440827660548-063549-000-1032-2366-76-76.jpeg
SPC-EAWAG-0P5X-1570496518549685-3678496913964-001089-016-430-2460-36-44.jpeg,maybe_cyano,train,maybe_cyano/training_data/SPC-EAWAG-0P5X-1570496518549685-3678496913964-001089-016-430-2460-36-44.jpeg
SPC-EAWAG-0P5X-1533729767363180-5443699055877-001579-027-2212-928-76-64.jpeg,nauplius,train,nauplius/training_data/SPC-EAWAG-0P5X-1533729767363180-5443699055877-001579-027-2212-928-76-64.jpeg
SPC-EAWAG-0P5X-1528939055885164-653052827723-046459-017-2046-1152-56-56.jpeg,dinobryon,train,dinobryon/training_data/SPC-EAWAG-0P5X-1528939055885164-653052827723-046459-017-2046-1152-56-56.jpeg
SPC-EAWAG-0P5X-1570496508536987-3678486913132-000989-042-2158-2184-72-80.jpeg,uroglena,train,uroglena/training_data/SPC-EAWAG-0P5X-1570496508536987-3678486913132-000989-042-2158-2184-72-80.jpeg
SPC-EAWAG-0P5X-1535372439091355-1055024698821-012289-047-1776-1264-376-388.jpeg,eudiaptomus,train,eudiaptomus/training_data/SPC-EAWAG-0P5X-1535372439091355-1055024698821-012289-047-1776-1264-376-388.jpeg
SPC-EAWAG-0P5X-1584342067190742-5087552466713-000579-034-3460-1170-200-200.jpeg,conochilus,train,conochilus/training_data/SPC-EAWAG-0P5X-1584342067190742-5087552466713-000579-034-3460-1170-200-200.jpeg
