class_index,class_name,train_count,validation_count,test_count,total_count
0,aphanizomenon,164,28,33,225
1,asplanchna,410,93,103,606
2,asterionella,735,165,154,1054
3,bosmina,51,14,15,80
4,brachionus,93,21,23,137
5,ceratium,558,130,126,814
6,chaoborus,7,2,1,10
7,conochilus,189,42,33,264
8,copepod_skins,24,6,3,33
9,cyclops,591,148,127,866
10,daphnia,510,112,99,721
11,daphnia_skins,39,5,2,46
12,diaphanosoma,769,161,159,1089
13,diatom_chain,12,3,2,17
14,dinobryon,2365,446,510,3321
15,dirt,91,22,18,131
16,eudiaptomus,375,75,87,537
17,filament,276,65,64,405
18,fish,155,38,29,222
19,fragilaria,215,35,56,306
20,hydra,15,1,2,18
21,kellikottia,375,65,79,519
22,keratella_cochlearis,84,13,15,112
23,keratella_quadrata,285,65,70,420
24,leptodora,144,33,26,203
25,maybe_cyano,958,204,202,1364
26,nauplius,1044,241,222,1507
27,paradileptus,291,61,72,424
28,polyarthra,57,12,10,79
29,rotifers,535,109,100,744
30,synchaeta,90,29,23,142
31,trichocerca,174,37,44,255
32,unknown,176,43,26,245
33,unknown_plankton,49,11,11,71
34,uroglena,652,156,145,953
