class_index,label
0,aphanizomenon
1,asplanchna
2,asterionella
3,bosmina
4,brachionus
5,ceratium
6,chaoborus
7,conochilus
8,copepod_skins
9,cyclops
10,daphnia
11,daphnia_skins
12,diaphanosoma
13,diatom_chain
14,dinobryon
15,dirt
16,eudiaptomus
17,filament
18,fish
19,fragilaria
20,hydra
21,kellikottia
22,keratella_cochlearis
23,keratella_quadrata
24,leptodora
25,maybe_cyano
26,nauplius
27,paradileptus
28,polyarthra
29,rotifers
30,synchaeta
31,trichocerca
32,unknown
33,unknown_plankton
34,uroglena
