epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy,learning_rate,epoch_seconds,stage_seconds,pipeline_seconds
1,0.5615543723106384,1.6886460781097412,0.6822742223739624,0.795615017414093,0.7603652477264404,0.8803418874740601,9.999999747378752e-05,183.344900092,183.347043841,184.0111072269999
2,0.7552158236503601,0.8998678922653198,0.851011335849762,0.8487551212310791,0.54567551612854,0.9130434989929199,9.999999747378752e-05,78.782833278,262.135222656,262.799286964
3,0.8032330274581909,0.718329668045044,0.8831820487976074,0.8617614507675171,0.4686102867126465,0.9260497689247131,9.999999747378752e-05,78.55502625300005,340.6949685149999,341.3590338209999
4,0.8197165131568909,0.6190716028213501,0.9002229571342468,0.8825715184211731,0.4115247130393982,0.9427722096443176,9.999999747378752e-05,80.99856228399983,421.6982642149999,422.362329322
5,0.8402611613273621,0.5532389283180237,0.9140786528587341,0.885915994644165,0.3900173604488373,0.9420289993286133,9.999999747378752e-05,80.17593191000014,501.88014529399993,502.5442108209999
6,0.855550229549408,0.5001634955406189,0.9257047176361084,0.898922324180603,0.34819740056991577,0.9513192176818848,9.999999747378752e-05,77.91581442799998,579.8010052469999,580.4650703579999
7,0.8588947057723999,0.47757378220558167,0.9282529354095459,0.9000371694564819,0.33689984679222107,0.9505760073661804,9.999999747378752e-05,75.17240984900013,654.978029637,655.642094983
8,0.8667781352996826,0.43987470865249634,0.9362159371376038,0.9067261219024658,0.31647390127182007,0.9505760073661804,9.999999747378752e-05,77.98452364500008,732.967007852,733.6310728519999
9,0.8733874559402466,0.42299726605415344,0.9395604133605957,0.9130434989929199,0.30194589495658875,0.95652174949646,9.999999747378752e-05,77.10410396700013,810.075986947,810.7400519479999
10,0.8791208863258362,0.3993742763996124,0.9438604712486267,0.9156447649002075,0.29952532052993774,0.9580081701278687,9.999999747378752e-05,77.11236345100019,887.193077373,887.8571427109999
11,0.88055419921875,0.3895096182823181,0.9454531073570251,0.9160163402557373,0.2889557182788849,0.9620958566665649,9.999999747378752e-05,76.76442456500013,963.96272267,964.626788028
