class,precision,recall,f1_score,support
dinobryon,0.9786821705426356,0.9901960784313726,0.9844054580896686,510.0
nauplius,0.9732142857142857,0.9819819819819819,0.9775784753363229,222.0
maybe_cyano,0.9754901960784313,0.9851485148514851,0.9802955665024631,202.0
diaphanosoma,0.987012987012987,0.9559748427672956,0.9712460063897763,159.0
asterionella,0.9868421052631579,0.974025974025974,0.9803921568627451,154.0
uroglena,1.0,1.0,1.0,145.0
cyclops,0.8768115942028986,0.952755905511811,0.9132075471698113,127.0
ceratium,0.9545454545454546,1.0,0.9767441860465116,126.0
asplanchna,0.9523809523809523,0.970873786407767,0.9615384615384616,103.0
rotifers,0.788135593220339,0.93,0.8532110091743119,100.0
daphnia,0.9065420560747663,0.9797979797979798,0.941747572815534,99.0
eudiaptomus,0.9078947368421053,0.7931034482758621,0.8466257668711656,87.0
kellicottia,0.9069767441860465,0.9873417721518988,0.9454545454545454,79.0
paradileptus,1.0,0.9444444444444444,0.9714285714285714,72.0
keratella_quadrata,0.9538461538461539,0.8857142857142857,0.9185185185185185,70.0
filament,0.9491525423728814,0.875,0.9105691056910569,64.0
fragilaria,0.9642857142857143,0.9642857142857143,0.9642857142857143,56.0
trichocerca,0.8913043478260869,0.9318181818181818,0.9111111111111111,44.0
aphanizomenon,0.8421052631578947,0.9696969696969697,0.9014084507042254,33.0
conochilus,0.9696969696969697,0.9696969696969697,0.9696969696969697,33.0
fish,0.8235294117647058,0.9655172413793104,0.8888888888888888,29.0
leptodora,1.0,0.8461538461538461,0.9166666666666666,26.0
unknown,0.7368421052631579,0.5384615384615384,0.6222222222222222,26.0
brachionus,0.7272727272727273,0.6956521739130435,0.7111111111111111,23.0
synchaeta,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
dirt,0.6666666666666666,0.1111111111111111,0.19047619047619047,18.0
bosmina,1.0,0.26666666666666666,0.42105263157894735,15.0
keratella_cochlearis,0.8,0.8,0.8,15.0
unknown_plankton,0.14285714285714285,0.09090909090909091,0.1111111111111111,11.0
polyarthra,0.0,0.0,0.0,10.0
copepod_skins,0.6,1.0,0.75,3.0
diatom_chain,0.4,1.0,0.5714285714285714,2.0
daphnia_skins,0.5,1.0,0.6666666666666666,2.0
hydra,0.5,0.5,0.5,2.0
chaoborus,0.0,0.0,0.0,1.0
