class,original_train_count,oversampled_train_count,added_rows,oversampled
aphanizomenon,164,164,0,False
asplanchna,410,410,0,False
asterionella,735,735,0,False
bosmina,51,51,0,False
brachionus,93,93,0,False
ceratium,558,558,0,False
chaoborus,7,100,93,True
conochilus,189,189,0,False
copepod_skins,24,100,76,True
cyclops,591,591,0,False
daphnia,510,510,0,False
daphnia_skins,39,100,61,True
diaphanosoma,769,769,0,False
diatom_chain,12,100,88,True
dinobryon,2365,2365,0,False
dirt,91,91,0,False
eudiaptomus,375,375,0,False
filament,276,276,0,False
fish,155,155,0,False
fragilaria,215,215,0,False
hydra,15,100,85,True
kellicottia,375,375,0,False
keratella_cochlearis,84,84,0,False
keratella_quadrata,285,285,0,False
leptodora,144,144,0,False
maybe_cyano,958,958,0,False
nauplius,1044,1044,0,False
paradileptus,291,291,0,False
polyarthra,57,57,0,False
rotifers,535,535,0,False
synchaeta,90,90,0,False
trichocerca,174,174,0,False
unknown,176,176,0,False
unknown_plankton,49,100,51,True
uroglena,652,652,0,False
