,precision,recall,f1-score,support
aphanizomenon,0.7021276595744681,1.0,0.825,33.0
asplanchna,0.9528301886792453,0.9805825242718447,0.9665071770334929,103.0
asterionella,0.9868421052631579,0.974025974025974,0.9803921568627451,154.0
bosmina,0.6666666666666666,0.4,0.5,15.0
brachionus,0.6666666666666666,0.43478260869565216,0.5263157894736842,23.0
ceratium,0.9402985074626866,1.0,0.9692307692307692,126.0
chaoborus,0.0,0.0,0.0,1.0
conochilus,1.0,1.0,1.0,33.0
copepod_skins,1.0,0.3333333333333333,0.5,3.0
cyclops,0.8439716312056738,0.937007874015748,0.8880597014925373,127.0
daphnia,0.8407079646017699,0.9595959595959596,0.8962264150943396,99.0
daphnia_skins,1.0,1.0,1.0,2.0
diaphanosoma,0.9805194805194806,0.949685534591195,0.9648562300319489,159.0
diatom_chain,0.0,0.0,0.0,2.0
dinobryon,0.9822134387351779,0.9745098039215686,0.9783464566929134,510.0
dirt,0.5714285714285714,0.2222222222222222,0.32,18.0
eudiaptomus,0.8933333333333333,0.7701149425287356,0.8271604938271605,87.0
filament,0.9482758620689655,0.859375,0.9016393442622951,64.0
fish,0.8787878787878788,1.0,0.9354838709677419,29.0
fragilaria,0.9322033898305084,0.9821428571428571,0.9565217391304348,56.0
hydra,0.0,0.0,0.0,2.0
kellicottia,0.9726027397260274,0.8987341772151899,0.9342105263157895,79.0
keratella_cochlearis,1.0,0.8,0.8888888888888888,15.0
keratella_quadrata,0.9538461538461539,0.8857142857142857,0.9185185185185185,70.0
leptodora,1.0,0.6923076923076923,0.8181818181818182,26.0
maybe_cyano,0.9609756097560975,0.9752475247524752,0.9680589680589681,202.0
nauplius,0.9356223175965666,0.9819819819819819,0.9582417582417583,222.0
paradileptus,1.0,0.9305555555555556,0.9640287769784173,72.0
polyarthra,0.5,0.3,0.375,10.0
rotifers,0.7272727272727273,0.96,0.8275862068965517,100.0
synchaeta,0.8214285714285714,1.0,0.9019607843137255,23.0
trichocerca,0.851063829787234,0.9090909090909091,0.8791208791208791,44.0
unknown,0.7692307692307693,0.38461538461538464,0.5128205128205128,26.0
unknown_plankton,0.5,0.09090909090909091,0.15384615384615385,11.0
uroglena,1.0,1.0,1.0,145.0
accuracy,0.9279078409513192,0.9279078409513192,0.9279078409513192,0.9279078409513192
macro avg,0.793683316099097,0.7310438638996472,0.7438915410366298,2691.0
weighted avg,0.9259468262873732,0.9279078409513192,0.9224594030200384,2691.0
