,dinobryon,nauplius,maybe_cyano,diaphanosoma,asterionella,uroglena,cyclops,ceratium,asplanchna,rotifers,daphnia,eudiaptomus,kellicottia,paradileptus,keratella_quadrata,filament,fragilaria,trichocerca,conochilus,aphanizomenon,fish,leptodora,unknown,synchaeta,brachionus,dirt,keratella_cochlearis,bosmina,unknown_plankton,polyarthra,copepod_skins,hydra,diatom_chain,daphnia_skins,chaoborus
dinobryon (510),497,7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nauplius (222),2,218,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maybe_cyano (202),0,0,197,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
diaphanosoma (159),0,0,0,151,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asterionella (154),3,0,1,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uroglena (145),0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyclops (127),0,3,0,0,0,0,119,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceratium (126),0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asplanchna (103),0,0,0,0,0,0,0,0,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rotifers (100),0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
daphnia (99),0,0,0,1,0,0,1,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
eudiaptomus (87),0,0,0,1,0,0,15,0,0,0,3,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kellicottia (79),0,1,0,0,1,0,0,0,0,0,0,0,71,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paradileptus (72),0,0,0,0,0,0,0,1,0,0,0,0,0,67,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keratella_quadrata (70),0,1,0,0,0,0,0,0,0,1,0,0,0,0,62,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
filament (64),0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,55,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fragilaria (56),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trichocerca (44),0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conochilus (33),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aphanizomenon (33),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish (29),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
