class,precision,recall,f1-score,support
aphanizomenon,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
asplanchna,0.9901960784313726,0.9805825242718447,0.9853658536585366,103.0
asterionella,0.98,0.9545454545454546,0.9671052631578947,154.0
bosmina,1.0,0.8666666666666667,0.9285714285714286,15.0
brachionus,0.8461538461538461,0.9565217391304348,0.8979591836734694,23.0
ceratium,0.946969696969697,0.9920634920634921,0.9689922480620154,126.0
chaoborus,1.0,1.0,1.0,1.0
conochilus,1.0,1.0,1.0,33.0
copepod_skins,0.5,1.0,0.6666666666666666,3.0
cyclops,0.9104477611940298,0.9606299212598425,0.9348659003831418,127.0
daphnia,0.979381443298969,0.9595959595959596,0.9693877551020408,99.0
daphnia_skins,1.0,1.0,1.0,2.0
diaphanosoma,0.9751552795031055,0.9874213836477987,0.98125,159.0
diatom_chain,1.0,1.0,1.0,2.0
dinobryon,0.9749518304431599,0.9921568627450981,0.9834791059280855,510.0
dirt,0.8888888888888888,0.4444444444444444,0.5925925925925926,18.0
eudiaptomus,0.9240506329113924,0.8390804597701149,0.8795180722891566,87.0
filament,0.9393939393939394,0.96875,0.9538461538461539,64.0
fish,1.0,1.0,1.0,29.0
fragilaria,1.0,0.9821428571428571,0.990990990990991,56.0
hydra,0.5,0.5,0.5,2.0
kellicottia,0.9375,0.9493670886075949,0.9433962264150944,79.0
keratella_cochlearis,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
keratella_quadrata,0.9411764705882353,0.9142857142857143,0.927536231884058,70.0
leptodora,0.9583333333333334,0.8846153846153846,0.92,26.0
maybe_cyano,0.9660194174757282,0.9851485148514851,0.9754901960784313,202.0
nauplius,0.9819819819819819,0.9819819819819819,0.9819819819819819,222.0
paradileptus,0.9722222222222222,0.9722222222222222,0.9722222222222222,72.0
polyarthra,0.5,0.3,0.375,10.0
rotifers,0.8584905660377359,0.91,0.883495145631068,100.0
synchaeta,0.88,0.9565217391304348,0.9166666666666666,23.0
trichocerca,0.8888888888888888,0.9090909090909091,0.898876404494382,44.0
unknown,0.7142857142857143,0.5769230769230769,0.6382978723404256,26.0
unknown_plankton,0.25,0.09090909090909091,0.13333333333333333,11.0
uroglena,0.9931506849315068,1.0,0.9965635738831615,145.0
accuracy,0.9539204756596061,0.9539204756596061,0.9539204756596061,0.9539204756596061
macro avg,0.8858199795141244,0.8749065169703574,0.8734146193118172,2691.0
weighted avg,0.9517243302145008,0.9539204756596061,0.9516316558037407,2691.0
