class,precision,recall,f1-score,support
aphanizomenon,0.5789473684210527,0.6666666666666666,0.6197183098591549,33.0
asplanchna,0.8545454545454545,0.912621359223301,0.8826291079812206,103.0
asterionella,0.8129032258064516,0.8181818181818182,0.8155339805825242,154.0
bosmina,0.8333333333333334,0.3333333333333333,0.47619047619047616,15.0
brachionus,0.6,0.2608695652173913,0.36363636363636365,23.0
ceratium,0.9076923076923077,0.9365079365079365,0.921875,126.0
chaoborus,0.0,0.0,0.0,1.0
conochilus,0.9166666666666666,0.6666666666666666,0.7719298245614035,33.0
copepod_skins,0.5,0.3333333333333333,0.4,3.0
cyclops,0.7142857142857143,0.8661417322834646,0.7829181494661922,127.0
daphnia,0.7802197802197802,0.7171717171717171,0.7473684210526316,99.0
daphnia_skins,0.0,0.0,0.0,2.0
diaphanosoma,0.8497109826589595,0.9245283018867925,0.8855421686746988,159.0
diatom_chain,0.0,0.0,0.0,2.0
dinobryon,0.8831168831168831,0.9333333333333333,0.9075309818875119,510.0
dirt,0.5,0.05555555555555555,0.1,18.0
eudiaptomus,0.7741935483870968,0.5517241379310345,0.6442953020134228,87.0
filament,0.796875,0.796875,0.796875,64.0
fish,0.8214285714285714,0.7931034482758621,0.8070175438596491,29.0
fragilaria,0.9056603773584906,0.8571428571428571,0.8807339449541285,56.0
hydra,0.0,0.0,0.0,2.0
kellicottia,0.8108108108108109,0.759493670886076,0.7843137254901961,79.0
keratella_cochlearis,0.8,0.5333333333333333,0.64,15.0
keratella_quadrata,0.7090909090909091,0.5571428571428572,0.624,70.0
leptodora,0.72,0.6923076923076923,0.7058823529411765,26.0
maybe_cyano,0.8708133971291866,0.900990099009901,0.8856447688564477,202.0
nauplius,0.7586206896551724,0.8918918918918919,0.8198757763975155,222.0
paradileptus,0.7972972972972973,0.8194444444444444,0.8082191780821918,72.0
polyarthra,0.0,0.0,0.0,10.0
rotifers,0.6666666666666666,0.84,0.7433628318584071,100.0
synchaeta,0.9166666666666666,0.4782608695652174,0.6285714285714286,23.0
trichocerca,0.6333333333333333,0.4318181818181818,0.5135135135135135,44.0
unknown,0.3888888888888889,0.2692307692307692,0.3181818181818182,26.0
unknown_plankton,0.3333333333333333,0.09090909090909091,0.14285714285714285,11.0
uroglena,0.9536423841059603,0.993103448275862,0.972972972972973,145.0
accuracy,0.8171683389074693,0.8171683389074693,0.8171683389074693,0.8171683389074693
macro avg,0.6396783883113997,0.562333803186468,0.5826054309840625,2691.0
weighted avg,0.8078332345151569,0.8171683389074693,0.8059985053255966,2691.0
