,aphanizomenon,asplanchna,asterionella,bosmina,brachionus,ceratium,chaoborus,conochilus,copepod_skins,cyclops,daphnia,daphnia_skins,diaphanosoma,diatom_chain,dinobryon,dirt,eudiaptomus,filament,fish,fragilaria,hydra,kellicottia,keratella_cochlearis,keratella_quadrata,leptodora,maybe_cyano,nauplius,paradileptus,polyarthra,rotifers,synchaeta,trichocerca,unknown,unknown_plankton,uroglena
aphanizomenon,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,1,2,0,2,0,0,0,0,0
asplanchna,0,94,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
asterionella,0,0,126,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,0,1,0
bosmina,0,3,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
brachionus,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,1,1,0,0,7,0,1,2,0,0
ceratium,1,0,1,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0
chaoborus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conochilus,0,2,0,0,0,0,0,22,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
copepod_skins,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyclops,0,0,0,1,0,0,0,0,0,110,2,0,4,0,0,0,4,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0
daphnia,0,2,1,0,0,0,0,0,0,9,71,0,12,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
daphnia_skins,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diaphanosoma,0,0,0,0,0,0,0,0,0,6,5,0,147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diatom_chain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dinobryon,0,0,8,0,0,0,0,1,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,1,0,5,18,0,0,1,0,0,0,0,0
dirt,0,1,1,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,1,1,0
eudiaptomus,0,0,0,0,0,0,0,0,0,19,2,0,7,0,0,0,48,3,2,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0
filament,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,51,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0
fish,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
fragilaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,48,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
hydra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
