,precision,recall,f1-score,support
aphanizomenon,0.9354838709677419,0.8787878787878788,0.90625,33.0
asplanchna,0.9619047619047619,0.9805825242718447,0.9711538461538461,103.0
asterionella,0.9411764705882353,0.935064935064935,0.9381107491856677,154.0
bosmina,0.9230769230769231,0.8,0.8571428571428571,15.0
brachionus,0.8076923076923077,0.9130434782608695,0.8571428571428571,23.0
ceratium,0.9534883720930233,0.9761904761904762,0.9647058823529412,126.0
chaoborus,1.0,1.0,1.0,1.0
conochilus,0.9696969696969697,0.9696969696969697,0.9696969696969697,33.0
copepod_skins,0.0,0.0,0.0,3.0
cyclops,0.8529411764705882,0.9133858267716536,0.8821292775665399,127.0
daphnia,0.9354838709677419,0.8787878787878788,0.90625,99.0
daphnia_skins,1.0,0.5,0.6666666666666666,2.0
diaphanosoma,0.9156626506024096,0.9559748427672956,0.9353846153846154,159.0
diatom_chain,0.0,0.0,0.0,2.0
dinobryon,0.9544592030360531,0.9862745098039216,0.970106075216972,510.0
dirt,1.0,0.2777777777777778,0.43478260869565216,18.0
eudiaptomus,0.881578947368421,0.7701149425287356,0.8220858895705522,87.0
filament,0.8823529411764706,0.9375,0.9090909090909091,64.0
fish,0.9333333333333333,0.9655172413793104,0.9491525423728814,29.0
fragilaria,1.0,0.9464285714285714,0.9724770642201835,56.0
hydra,0.5,0.5,0.5,2.0
kellicottia,0.9367088607594937,0.9367088607594937,0.9367088607594937,79.0
keratella_cochlearis,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
keratella_quadrata,0.927536231884058,0.9142857142857143,0.920863309352518,70.0
leptodora,0.88,0.8461538461538461,0.8627450980392157,26.0
maybe_cyano,0.9420289855072463,0.9653465346534653,0.9535452322738386,202.0
nauplius,0.9722222222222222,0.9459459459459459,0.958904109589041,222.0
paradileptus,0.9714285714285714,0.9444444444444444,0.9577464788732394,72.0
polyarthra,0.6666666666666666,0.2,0.3076923076923077,10.0
rotifers,0.8053097345132744,0.91,0.8544600938967136,100.0
synchaeta,0.8461538461538461,0.9565217391304348,0.8979591836734694,23.0
trichocerca,0.8,0.9090909090909091,0.851063829787234,44.0
unknown,0.75,0.46153846153846156,0.5714285714285714,26.0
unknown_plankton,0.25,0.09090909090909091,0.13333333333333333,11.0
uroglena,0.9931506849315068,1.0,0.9965635738831615,145.0
accuracy,0.9271646228167967,0.9271646228167967,0.9271646228167967,0.9271646228167967
macro avg,0.8231931378646883,0.7723640019170455,0.7829491880263154,2691.0
weighted avg,0.9244925679891265,0.9271646228167967,0.9227847282092072,2691.0
