,precision,recall,f1-score,support
aphanizomenon,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
asplanchna,0.9803921568627451,0.970873786407767,0.975609756097561,103.0
asterionella,0.9733333333333334,0.948051948051948,0.9605263157894737,154.0
bosmina,1.0,0.7333333333333333,0.8461538461538461,15.0
brachionus,0.9,0.782608695652174,0.8372093023255814,23.0
ceratium,0.9689922480620154,0.9920634920634921,0.9803921568627451,126.0
chaoborus,0.0,0.0,0.0,1.0
conochilus,1.0,0.9696969696969697,0.9846153846153847,33.0
copepod_skins,1.0,1.0,1.0,3.0
cyclops,0.9242424242424242,0.9606299212598425,0.9420849420849421,127.0
daphnia,0.978494623655914,0.9191919191919192,0.9479166666666666,99.0
daphnia_skins,0.4,1.0,0.5714285714285714,2.0
diaphanosoma,0.9751552795031055,0.9874213836477987,0.98125,159.0
diatom_chain,1.0,1.0,1.0,2.0
dinobryon,0.9765166340508806,0.9784313725490196,0.9774730656219393,510.0
dirt,0.6666666666666666,0.3333333333333333,0.4444444444444444,18.0
eudiaptomus,0.9302325581395349,0.9195402298850575,0.9248554913294798,87.0
filament,0.921875,0.921875,0.921875,64.0
fish,0.9354838709677419,1.0,0.9666666666666667,29.0
fragilaria,0.9818181818181818,0.9642857142857143,0.972972972972973,56.0
hydra,0.3333333333333333,0.5,0.4,2.0
kellicottia,0.9743589743589743,0.9620253164556962,0.9681528662420382,79.0
keratella_cochlearis,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
keratella_quadrata,0.9420289855072463,0.9285714285714286,0.935251798561151,70.0
leptodora,0.9230769230769231,0.9230769230769231,0.9230769230769231,26.0
maybe_cyano,0.9516908212560387,0.9752475247524752,0.9633251833740831,202.0
nauplius,0.9684684684684685,0.9684684684684685,0.9684684684684685,222.0
paradileptus,0.972972972972973,1.0,0.9863013698630136,72.0
polyarthra,0.6,0.3,0.4,10.0
rotifers,0.7927927927927928,0.88,0.8341232227488151,100.0
synchaeta,0.8148148148148148,0.9565217391304348,0.88,23.0
trichocerca,0.9166666666666666,1.0,0.9565217391304348,44.0
unknown,0.56,0.5384615384615384,0.5490196078431373,26.0
unknown_plankton,0.5,0.2727272727272727,0.35294117647058826,11.0
uroglena,0.9931506849315068,1.0,0.9965635738831615,145.0
accuracy,0.9472315124489038,0.9472315124489038,0.9472315124489038,0.9472315124489038
macro avg,0.8446462577583682,0.8397856547732346,0.8330080319652199,2691.0
weighted avg,0.9461648522535959,0.9472315124489038,0.9454765151213811,2691.0
