class,precision,recall,f1-score,support
aphanizomenon,0.96875,0.9393939393939394,0.9538461538461539,33.0
asplanchna,0.9805825242718447,0.9805825242718447,0.9805825242718447,103.0
asterionella,0.9801324503311258,0.961038961038961,0.9704918032786886,154.0
bosmina,1.0,0.7333333333333333,0.8461538461538461,15.0
brachionus,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
ceratium,0.9765625,0.9920634920634921,0.984251968503937,126.0
chaoborus,0.0,0.0,0.0,1.0
conochilus,1.0,0.9696969696969697,0.9846153846153847,33.0
copepod_skins,1.0,1.0,1.0,3.0
cyclops,0.9022556390977443,0.9448818897637795,0.9230769230769231,127.0
daphnia,0.9494949494949495,0.9494949494949495,0.9494949494949495,99.0
daphnia_skins,0.4,1.0,0.5714285714285714,2.0
diaphanosoma,0.98125,0.9874213836477987,0.9843260188087775,159.0
diatom_chain,1.0,1.0,1.0,2.0
dinobryon,0.9803921568627451,0.9803921568627451,0.9803921568627451,510.0
dirt,0.5454545454545454,0.3333333333333333,0.41379310344827586,18.0
eudiaptomus,0.9156626506024096,0.8735632183908046,0.8941176470588236,87.0
filament,0.9206349206349206,0.90625,0.9133858267716536,64.0
fish,0.9666666666666667,1.0,0.9830508474576272,29.0
fragilaria,0.9818181818181818,0.9642857142857143,0.972972972972973,56.0
hydra,0.3333333333333333,0.5,0.4,2.0
kellicottia,0.9743589743589743,0.9620253164556962,0.9681528662420382,79.0
keratella_cochlearis,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
keratella_quadrata,0.9696969696969697,0.9142857142857143,0.9411764705882353,70.0
leptodora,0.9285714285714286,1.0,0.9629629629629629,26.0
maybe_cyano,0.9516908212560387,0.9752475247524752,0.9633251833740831,202.0
nauplius,0.96875,0.9774774774774775,0.9730941704035875,222.0
paradileptus,0.96,1.0,0.9795918367346939,72.0
polyarthra,0.5,0.4,0.4444444444444444,10.0
rotifers,0.8285714285714286,0.87,0.848780487804878,100.0
synchaeta,0.88,0.9565217391304348,0.9166666666666666,23.0
trichocerca,0.8979591836734694,1.0,0.946236559139785,44.0
unknown,0.56,0.5384615384615384,0.5490196078431373,26.0
unknown_plankton,0.5,0.18181818181818182,0.26666666666666666,11.0
uroglena,0.9931506849315068,1.0,0.9965635738831615,145.0
accuracy,0.9483463396506875,0.9483463396506875,0.9483463396506875,0.9483463396506875
macro avg,0.8414399541348986,0.8424092280327884,0.8338657392990053,2691.0
weighted avg,0.9466619626947569,0.9483463396506875,0.9465824587865838,2691.0
