class,precision,recall,f1-score,support
aphanizomenon,0.8888888888888888,0.9696969696969697,0.927536231884058,33.0
asplanchna,0.9805825242718447,0.9805825242718447,0.9805825242718447,103.0
asterionella,0.9803921568627451,0.974025974025974,0.9771986970684039,154.0
bosmina,0.7058823529411765,0.8,0.75,15.0
brachionus,0.72,0.782608695652174,0.75,23.0
ceratium,0.9692307692307692,1.0,0.984375,126.0
chaoborus,0.0,0.0,0.0,1.0
conochilus,0.9705882352941176,1.0,0.9850746268656716,33.0
copepod_skins,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
cyclops,0.9166666666666666,0.952755905511811,0.9343629343629344,127.0
daphnia,0.9347826086956522,0.8686868686868687,0.900523560209424,99.0
daphnia_skins,0.6666666666666666,1.0,0.8,2.0
diaphanosoma,0.9567901234567902,0.9748427672955975,0.9657320872274143,159.0
diatom_chain,0.2,1.0,0.3333333333333333,2.0
dinobryon,0.9882352941176471,0.9882352941176471,0.9882352941176471,510.0
dirt,0.4444444444444444,0.2222222222222222,0.2962962962962963,18.0
eudiaptomus,0.9305555555555556,0.7701149425287356,0.8427672955974843,87.0
filament,0.9152542372881356,0.84375,0.8780487804878049,64.0
fish,1.0,0.7931034482758621,0.8846153846153846,29.0
fragilaria,0.9642857142857143,0.9642857142857143,0.9642857142857143,56.0
hydra,0.0,0.0,0.0,2.0
kellicottia,0.9259259259259259,0.9493670886075949,0.9375,79.0
keratella_cochlearis,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
keratella_quadrata,0.8961038961038961,0.9857142857142858,0.9387755102040817,70.0
leptodora,0.8888888888888888,0.9230769230769231,0.9056603773584906,26.0
maybe_cyano,0.9702970297029703,0.9702970297029703,0.9702970297029703,202.0
nauplius,0.9819004524886877,0.9774774774774775,0.9796839729119639,222.0
paradileptus,0.971830985915493,0.9583333333333334,0.965034965034965,72.0
polyarthra,0.6666666666666666,0.2,0.3076923076923077,10.0
rotifers,0.8141592920353983,0.92,0.863849765258216,100.0
synchaeta,0.8214285714285714,1.0,0.9019607843137255,23.0
trichocerca,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
unknown,0.6666666666666666,0.6153846153846154,0.64,26.0
unknown_plankton,0.2222222222222222,0.18181818181818182,0.2,11.0
uroglena,0.993103448275862,0.993103448275862,0.993103448275862,145.0
accuracy,0.9401709401709402,0.9401709401709402,0.9401709401709402,0.9401709401709402
macro avg,0.7865323074622439,0.8026086254794528,0.7800004083848292,2691.0
weighted avg,0.9411438264773423,0.9401709401709402,0.9388962684919879,2691.0
