class,precision,recall,f1-score,support
aphanizomenon,0.9032258064516129,0.8484848484848485,0.875,33.0
asplanchna,0.9158878504672897,0.9514563106796117,0.9333333333333333,103.0
asterionella,0.9066666666666666,0.8831168831168831,0.8947368421052632,154.0
bosmina,0.6875,0.7333333333333333,0.7096774193548387,15.0
brachionus,0.7,0.30434782608695654,0.42424242424242425,23.0
ceratium,0.952755905511811,0.9603174603174603,0.9565217391304348,126.0
chaoborus,0.0,0.0,0.0,1.0
conochilus,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
copepod_skins,1.0,0.3333333333333333,0.5,3.0
cyclops,0.8646616541353384,0.905511811023622,0.8846153846153846,127.0
daphnia,0.9347826086956522,0.8686868686868687,0.900523560209424,99.0
daphnia_skins,0.5,0.5,0.5,2.0
diaphanosoma,0.9011627906976745,0.9748427672955975,0.9365558912386707,159.0
diatom_chain,1.0,1.0,1.0,2.0
dinobryon,0.9255725190839694,0.9509803921568627,0.9381044487427466,510.0
dirt,0.4,0.1111111111111111,0.17391304347826086,18.0
eudiaptomus,0.935064935064935,0.8275862068965517,0.8780487804878049,87.0
filament,0.873015873015873,0.859375,0.8661417322834646,64.0
fish,0.8529411764705882,1.0,0.9206349206349206,29.0
fragilaria,0.9464285714285714,0.9464285714285714,0.9464285714285714,56.0
hydra,0.5,0.5,0.5,2.0
kellicottia,0.9459459459459459,0.8860759493670886,0.9150326797385621,79.0
keratella_cochlearis,0.5454545454545454,0.4,0.46153846153846156,15.0
keratella_quadrata,0.8064516129032258,0.7142857142857143,0.7575757575757576,70.0
leptodora,0.8148148148148148,0.8461538461538461,0.8301886792452831,26.0
maybe_cyano,0.9238095238095239,0.9603960396039604,0.941747572815534,202.0
nauplius,0.9279279279279279,0.9279279279279279,0.9279279279279279,222.0
paradileptus,0.8947368421052632,0.9444444444444444,0.918918918918919,72.0
polyarthra,0.4444444444444444,0.4,0.42105263157894735,10.0
rotifers,0.6793893129770993,0.89,0.7705627705627706,100.0
synchaeta,0.9411764705882353,0.6956521739130435,0.8,23.0
trichocerca,0.8,0.9090909090909091,0.851063829787234,44.0
unknown,0.75,0.46153846153846156,0.5714285714285714,26.0
unknown_plankton,0.0,0.0,0.0,11.0
uroglena,0.9931506849315068,1.0,0.9965635738831615,145.0
accuracy,0.8959494611668525,0.8959494611668525,0.8959494611668525,0.8959494611668525
macro avg,0.774467497799613,0.7266820608477413,0.7383278115908747,2691.0
weighted avg,0.8912623015329347,0.8959494611668525,0.8905282792475009,2691.0
