,precision,recall,f1-score,support
aphanizomenon,0.9032258064516129,0.8484848484848485,0.875,33.0
asplanchna,0.9528301886792453,0.9805825242718447,0.9665071770334929,103.0
asterionella,0.9664429530201343,0.935064935064935,0.9504950495049505,154.0
bosmina,1.0,0.8,0.8888888888888888,15.0
brachionus,0.76,0.8260869565217391,0.7916666666666666,23.0
ceratium,0.9538461538461539,0.9841269841269841,0.96875,126.0
chaoborus,1.0,1.0,1.0,1.0
conochilus,1.0,0.9696969696969697,0.9846153846153847,33.0
copepod_skins,1.0,1.0,1.0,3.0
cyclops,0.8913043478260869,0.968503937007874,0.9283018867924528,127.0
daphnia,0.967391304347826,0.898989898989899,0.9319371727748691,99.0
daphnia_skins,0.3333333333333333,1.0,0.5,2.0
diaphanosoma,0.9631901840490797,0.9874213836477987,0.9751552795031055,159.0
diatom_chain,1.0,1.0,1.0,2.0
dinobryon,0.9688715953307393,0.9764705882352941,0.97265625,510.0
dirt,0.5,0.2777777777777778,0.35714285714285715,18.0
eudiaptomus,0.961038961038961,0.8505747126436781,0.9024390243902439,87.0
filament,0.8676470588235294,0.921875,0.8939393939393939,64.0
fish,0.9642857142857143,0.9310344827586207,0.9473684210526315,29.0
fragilaria,1.0,0.9642857142857143,0.9818181818181818,56.0
hydra,0.3333333333333333,0.5,0.4,2.0
kellicottia,0.9487179487179487,0.9367088607594937,0.9426751592356688,79.0
keratella_cochlearis,0.8571428571428571,0.8,0.8275862068965517,15.0
keratella_quadrata,0.9552238805970149,0.9142857142857143,0.9343065693430657,70.0
leptodora,0.96,0.9230769230769231,0.9411764705882353,26.0
maybe_cyano,0.9423076923076923,0.9702970297029703,0.9560975609756097,202.0
nauplius,0.9469026548672567,0.963963963963964,0.9553571428571429,222.0
paradileptus,0.935064935064935,1.0,0.9664429530201343,72.0
polyarthra,0.6666666666666666,0.4,0.5,10.0
rotifers,0.8073394495412844,0.88,0.8421052631578947,100.0
synchaeta,0.9090909090909091,0.8695652173913043,0.8888888888888888,23.0
trichocerca,0.9333333333333333,0.9545454545454546,0.9438202247191011,44.0
unknown,0.6190476190476191,0.5,0.5531914893617021,26.0
unknown_plankton,0.3333333333333333,0.09090909090909091,0.14285714285714285,11.0
uroglena,0.9931506849315068,1.0,0.9965635738831615,145.0
accuracy,0.9379412857673727,0.9379412857673727,0.9379412857673727,0.9379412857673727
macro avg,0.8598303685430888,0.8521236848042542,0.8459357222830691,2691.0
weighted avg,0.9360019435446536,0.9379412857673727,0.9356254509912563,2691.0
