,precision,recall,f1-score,support
aphanizomenon,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
asplanchna,0.9619047619047619,0.9805825242718447,0.9711538461538461,103.0
asterionella,0.9466666666666667,0.922077922077922,0.9342105263157895,154.0
bosmina,1.0,0.7333333333333333,0.8461538461538461,15.0
brachionus,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
ceratium,0.9393939393939394,0.9841269841269841,0.9612403100775194,126.0
chaoborus,1.0,1.0,1.0,1.0
conochilus,1.0,0.9696969696969697,0.9846153846153847,33.0
copepod_skins,1.0,1.0,1.0,3.0
cyclops,0.9242424242424242,0.9606299212598425,0.9420849420849421,127.0
daphnia,0.9782608695652174,0.9090909090909091,0.9424083769633508,99.0
daphnia_skins,0.2857142857142857,1.0,0.4444444444444444,2.0
diaphanosoma,0.9811320754716981,0.9811320754716981,0.9811320754716981,159.0
diatom_chain,1.0,1.0,1.0,2.0
dinobryon,0.9631067961165048,0.9725490196078431,0.9678048780487805,510.0
dirt,0.5,0.2777777777777778,0.35714285714285715,18.0
eudiaptomus,0.9390243902439024,0.8850574712643678,0.9112426035502958,87.0
filament,0.8939393939393939,0.921875,0.9076923076923077,64.0
fish,0.9333333333333333,0.9655172413793104,0.9491525423728814,29.0
fragilaria,1.0,0.9642857142857143,0.9818181818181818,56.0
hydra,0.3333333333333333,0.5,0.4,2.0
kellicottia,0.9487179487179487,0.9367088607594937,0.9426751592356688,79.0
keratella_cochlearis,0.9230769230769231,0.8,0.8571428571428571,15.0
keratella_quadrata,0.9841269841269841,0.8857142857142857,0.9323308270676691,70.0
leptodora,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
maybe_cyano,0.9330143540669856,0.9653465346534653,0.948905109489051,202.0
nauplius,0.9680365296803652,0.954954954954955,0.9614512471655329,222.0
paradileptus,0.9726027397260274,0.9861111111111112,0.9793103448275862,72.0
polyarthra,0.6666666666666666,0.4,0.5,10.0
rotifers,0.822429906542056,0.88,0.8502415458937198,100.0
synchaeta,0.88,0.9565217391304348,0.9166666666666666,23.0
trichocerca,0.8627450980392157,1.0,0.9263157894736842,44.0
unknown,0.5517241379310345,0.6153846153846154,0.5818181818181818,26.0
unknown_plankton,0.4,0.18181818181818182,0.25,11.0
uroglena,1.0,1.0,1.0,145.0
accuracy,0.9394277220364177,0.9394277220364177,0.9394277220364177,0.9394277220364177
macro avg,0.8634346547415374,0.8633517858464343,0.8530335488325967,2691.0
weighted avg,0.9393493180361092,0.9394277220364177,0.938194957410856,2691.0
