class,before,after
aphanizomenon,164,164
asplanchna,410,410
asterionella,735,735
bosmina,51,51
brachionus,93,93
ceratium,558,558
chaoborus,7,100
conochilus,189,189
copepod_skins,24,100
cyclops,591,591
daphnia,510,510
daphnia_skins,39,100
diaphanosoma,769,769
diatom_chain,12,100
dinobryon,2365,2365
dirt,91,91
eudiaptomus,375,375
filament,276,276
fish,155,155
fragilaria,215,215
hydra,15,100
kellicottia,375,375
keratella_cochlearis,84,84
keratella_quadrata,285,285
leptodora,144,144
maybe_cyano,958,958
nauplius,1044,1044
paradileptus,291,291
polyarthra,57,57
rotifers,535,535
synchaeta,90,90
trichocerca,174,174
unknown,176,176
unknown_plankton,49,49
uroglena,652,652
